,instance,it,makespan_lb,gap_lb,makespan_stnu,regret,rel_regret,instance_type,status
235,40_4_factory_1,,,,,,,2,feasible_and_dc_but_rte_error
236,40_4_factory_1,2.0,1631.0,0.0,1787.0,156.0,0.0956468424279583,2,feasible_and_dc
237,40_4_factory_1,,,,,,,2,feasible_and_dc_but_rte_error
238,40_4_factory_1,4.0,1630.0,0.0,1763.0,133.0,0.08159509202453988,2,feasible_and_dc
239,40_4_factory_1,,,,,,,2,feasible_and_dc_but_rte_error
240,40_4_factory_1,6.0,1658.0,0.0,1790.0,132.0,0.07961399276236429,2,feasible_and_dc
241,40_4_factory_1,7.0,1638.0,0.0,1755.0,117.0,0.07142857142857142,2,feasible_and_dc
242,40_4_factory_1,8.0,1632.0,0.0,1781.0,149.0,0.09129901960784313,2,feasible_and_dc
243,40_4_factory_1,9.0,1639.0,0.0,1786.0,147.0,0.0896888346552776,2,feasible_and_dc
244,40_5_factory_1,0.0,1810.0,0.0,1810.0,0.0,0.0,1,feasible_and_dc
245,40_5_factory_1,1.0,1816.0,0.0,1819.0,3.0,0.0016519823788546256,1,feasible_and_dc
246,40_5_factory_1,2.0,1786.0,0.0,1786.0,0.0,0.0,1,feasible_and_dc
247,40_5_factory_1,3.0,1883.0,0.0,1883.0,0.0,0.0,1,feasible_and_dc
248,40_5_factory_1,4.0,1773.0,0.0,1781.0,8.0,0.0045121263395375075,1,feasible_and_dc
249,40_5_factory_1,5.0,1780.0,0.0,1780.0,0.0,0.0,1,feasible_and_dc
250,40_5_factory_1,6.0,1806.0,0.0,1806.0,0.0,0.0,1,feasible_and_dc
251,40_5_factory_1,7.0,1775.0,0.0,1775.0,0.0,0.0,1,feasible_and_dc
252,40_5_factory_1,8.0,1753.0,0.0,1772.0,19.0,0.010838562464346835,1,feasible_and_dc
253,40_5_factory_1,9.0,1778.0,0.0,1811.0,33.0,0.01856017997750281,1,feasible_and_dc
254,40_5_factory_1,,,,,,,2,infeasible
